10, -0.22221 -0.259396 1.361347 2.165783 2.394842 -0.023747 0.005831 -0.042016 -0.038751 -0.055278 -0.070557 -0.075183 -0.052318 -0.033592 -0.008817 -0.003626 -0.025755 -0.00931 -0.025184 -0.033305 -0.016168 -0.000853 -0.010035 0.004163 -0.023913 -0.007323 0.007096 0.030051 0.035428 0.031346 0.005437 0.40437 -0.357733 -0.323925 -0.213836;
11, 0.615196 -0.430186 2.626239 2.360959 2.624609 0.030416 -0.094366 -0.044298 -0.015513 -0.032541 0.023032 0.059374 0.053595 -0.063871 -0.078212 -0.101376 -0.00477 0.05759 -0.027557 -0.032036 0.093463 -0.020899 -0.035219 -0.011895 0.008903 0.055387 0.075707 0.08019 0.07192 0.016913 0.045531 0.373469 -0.350973 0.408334 0.499335;
12, -0.392428 -0.287799 1.799786 2.829515 3.070141 -0.109745 -0.080373 0.015017 -0.046136 0.015158 -0.027662 -0.011494 -0.045214 -0.025884 -0.0362 -0.023167 0.021683 0.031114 -0.022674 0.010179 -0.004423 0.014263 -0.02066 0.000188 -0.020315 -0.016693 0.000537 -0.055729 0.025067 -0.009623 -0.000594 0.371358 -0.37408 1.337438 1.667858;
13, -0.54666 -5.887413 -0.915867 -0.792987 0.912632 -0.031826 0.120885 0.048715 0.08912 0.090702 0.10065 0.120155 0.08721 0.09869 0.099972 0.110476 0.11512 0.06078 0.092063 0.05883 -0.005831 0.070217 0.070866 0.010825 0.109424 0.169335 -0.00052 -0.025673 -0.014889 -0.068616 -0.019839 -9.096837 6.833377 -0.721926 -1.145673;
14, -0.502813 -3.626616 -1.003445 -1.178576 -0.188685 -0.019446 0.098182 0.035156 0.061879 0.067092 0.112338 0.116408 0.071916 0.102423 0.067278 0.034514 0.061093 0.014945 0.079286 -0.030649 -0.039286 0.004103 -0.009121 -0.019166 -0.022747 -0.040934 -0.012046 -0.023022 0.030024 0.012922 -0.026693 -3.215655 4.384242 -0.678463 -1.03681;
15, -0.177248 -2.227652 0.14186 -0.992983 0.417204 -0.031967 0.044877 -0.00444 -0.001865 0.008333 0.015979 0.022579 0.002915 -0.015455 -0.019806 -0.014991 0.011641 0.018321 0.147811 0.039415 0.031098 0.023843 0.038165 0.013361 0.046064 0.002307 -0.007494 0.023013 0.011394 -0.005578 0.012919 -0.33646 3.49585 -0.443195 -0.498649;
16, 0.331683 -1.766808 0.487247 0.333428 0.937703 0.018602 0.006109 0.053441 0.020751 0.004361 0.079251 0.086584 0.038646 0.051247 0.03599 0.027909 0.001815 0.017065 -0.006175 0.14609 0.035102 0.106805 0.061235 0.070462 0.020383 0.059924 0.038189 0.044849 0.065432 0.051163 0.030645 -1.228129 1.887859 -0.270761 0.244282;
17, 7.390648 -0.186763 -0.450725 0.27265 -1.060118 0.098501 0.10981 -0.024629 0.015398 0.010469 0.00584 0.009197 -0.020377 -0.015541 -0.050407 -0.047446 -0.032522 -0.034755 -0.022753 0.028739 -0.022656 -0.015018 -0.055404 -0.016494 -0.012483 -0.008435 -0.026696 -0.000312 0.022995 0.010527 0.03053 0.133748 -0.173144 -0.594719 -0.817178;
18, 4.164155 -0.016585 0.417377 0.494672 -0.497935 0.062082 0.046884 -0.027952 -0.017055 0.005886 -0.026658 -0.028392 -0.02648 -0.00642 -0.020788 -0.04511 -0.045425 -0.037088 -0.01789 0.113666 -0.001069 -0.003583 0.023638 0.01763 0.013807 0.04156 0.061665 0.089685 0.081084 0.050703 0.060456 0.249344 -0.190955 -0.489658 -0.639401;
19, 2.06789 0.896398 0.901272 0.140841 0.322091 0.058677 0.070448 -0.047673 -0.072281 -0.049557 -0.035123 -0.063395 -0.049056 -0.017273 -0.046794 -0.014389 -0.026715 -0.052723 0.066054 0.125827 0.074055 0.044634 0.05607 0.070946 0.054398 0.029032 0.01042 0.031853 0.02274 0.015913 0.024381 0.401132 -0.29941 -0.380722 -0.412793;
20, 1.239272 0.147493 1.453995 0.841413 -0.145337 0.025057 -0.006096 -0.018054 -0.038922 -0.036133 -0.040345 -0.064488 0.003834 -0.003918 0.036829 0.022516 -0.022153 0.001024 0.030043 0.088578 0.087197 0.026151 0.008821 0.00294 0.024265 0.02311 0.049067 0.013875 0.085601 0.018533 0.048552 0.380471 -0.145939 -0.022527 0.490096;
21, 0.487678 -0.32491 1.07676 2.401462 0.601365 0.052388 -0.007115 -0.033375 -0.060926 -0.027413 -0.090764 -0.096986 -0.079141 -0.003401 -0.017747 -0.029661 -0.008257 -0.034665 -0.025659 -0.013117 0.022318 0.046343 0.022919 -0.007903 0.0476 -0.000191 0.010296 0.003989 0.019407 0.011647 0.013174 0.362339 -0.297539 -0.509513 -0.63799;
22, -0.379652 -0.191056 1.002528 3.102533 0.532461 0.021502 0.030649 -0.039977 -0.053963 0.017279 -0.022766 -0.033772 -0.01715 -0.031802 -0.00531 -0.013638 -0.014091 -0.024732 0.026277 -0.019224 -0.016686 0.022369 -0.026142 -0.002485 -0.028473 0.016065 0.02297 0.020424 -0.000731 0.050792 0.116013 0.321218 -0.244503 -0.324122 -0.357648;
23, -0.082733 -0.754485 1.201959 2.966611 0.422108 -0.052816 -0.067824 0.033044 -0.026325 0.013815 -0.005252 -0.055675 -0.053735 -0.124393 -0.024925 -0.052929 0.032852 -0.078043 -0.053709 -0.0488 -0.021781 -0.020211 -0.049437 -0.041716 0.008107 -0.014375 0.013874 -0.004037 0.035989 0.05186 0.030938 0.37219 -0.33523 0.385441 0.819844;
24, -0.1678 -0.099496 0.612085 1.597732 1.706841 -0.021368 -0.091754 0.06217 0.009684 0.005348 0.013832 0.009911 -0.016807 -0.033706 -0.012388 -0.019081 -0.02405 0.003033 -0.022828 -0.036542 -0.008353 -0.022392 0.024609 -0.037914 -0.044385 -0.036117 -0.028189 -0.004672 -0.023187 -0.02233 -0.017233 0.32571 -0.328646 0.438823 1.430375;
25, -0.204942 -0.099711 1.388652 1.253779 1.513811 -0.107671 -0.16274 0.019792 0.021385 0.023502 0.023881 0.014596 0.053408 0.033075 0.006682 -0.037149 -0.033639 0.021716 -0.033544 -0.013742 0.054748 -0.049816 -0.009663 -0.008752 0.011381 -0.0157 -0.008892 0.011954 -0.024411 0.01902 0.002036 0.362868 -0.376324 3.423755 1.711411;
